from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id,max_waiting_time
U142Z301,U142Z301,2,240,,,0
U480Z301,U480Z301,2,180,,,0
U2816Z301,U2816Z301,2,120,,,0
U458Z301,U458Z301,2,120,,,0
U2236Z301,U2236Z301,2,120,,,0
U463Z301,U463Z301,2,120,,,0
U2848Z301,U2848Z301,2,120,,,0
U134Z301,U134Z301,2,120,,,0
U474Z301,U474Z301,2,120,,,0
U115Z301,U115Z301,2,120,,,0
U2781Z301,U2781Z301,2,120,,,0
U818Z301,U818Z301,2,120,,,0
U1383Z301,U1383Z301,2,120,,,0
U142Z301,U142Z101P,2,300,,,0
U142Z101P,U142Z301,2,300,,,0
U142Z301,U142Z102P,2,300,,,0
U142Z102P,U142Z301,2,300,,,0
U458Z301,U458Z101P,2,180,,,0
U458Z101P,U458Z301,2,180,,,0
U458Z301,U458Z102P,2,180,,,0
U458Z102P,U458Z301,2,180,,,0
U458Z301,U458Z1P,2,180,,,0
U458Z1P,U458Z301,2,180,,,0
U458Z301,U458Z10P,2,180,,,0
U458Z10P,U458Z301,2,180,,,0
U458Z301,U458Z11P,2,180,,,0
U458Z11P,U458Z301,2,180,,,0
U458Z301,U458Z11,2,180,,,0
U458Z11,U458Z301,2,180,,,0
U458Z301,U458Z12,2,180,,,0
U458Z12,U458Z301,2,180,,,0
U458Z301,U458Z13P,2,180,,,0
U458Z13P,U458Z301,2,180,,,0
U458Z301,U458Z13,2,180,,,0
U458Z13,U458Z301,2,180,,,0
U458Z301,U458Z16,2,180,,,0
U458Z16,U458Z301,2,180,,,0
U458Z301,U458Z17P,2,180,,,0
U458Z17P,U458Z301,2,180,,,0
U458Z301,U458Z17,2,180,,,0
U458Z17,U458Z301,2,180,,,0
U458Z301,U458Z2P,2,180,,,0
U458Z2P,U458Z301,2,180,,,0
U458Z301,U458Z7,2,180,,,0
U458Z7,U458Z301,2,180,,,0
U458Z301,U458Z8P,2,180,,,0
U458Z8P,U458Z301,2,180,,,0
U458Z301,U458Z9P,2,180,,,0
U458Z9P,U458Z301,2,180,,,0
U336Z1,U336Z1P,1,,959_35_250505,903_73_250715,600
U651Z2P,U651Z5P,1,,93_1392_250720,903_74_250715,600
U97Z1P,U97Z2P,1,,109_1121_241216,163_1154_241216,120
U97Z1P,U97Z2P,1,,109_241_241215,163_1154_241216,120
U28Z1P,U28Z1P,1,,221_1834_250721,163_1154_241216,180
U28Z2P,U28Z2P,1,,221_1835_250721,163_1123_241215,180
U1071Z3P,U1071Z3P,1,,909_277_250707,916_175_250628,180
U1071Z3P,U1071Z3P,1,,909_274_250707,916_177_250628,600
U28Z2P,U28Z2P,1,,221_1833_250721,163_1121_241215,180
U97Z1P,U97Z2P,1,,109_1157_241221,163_1122_241216,120
U28Z1P,U28Z1P,1,,221_1862_250721,163_1122_241216,180
U28Z2P,U28Z2P,1,,221_1863_250721,163_1174_241215,180
U97Z1P,U97Z2P,1,,109_270_241215,163_1175_241216,120
U28Z1P,U28Z1P,1,,221_1812_250721,163_1175_241216,180
U28Z2P,U28Z2P,1,,221_1807_250721,163_1172_241215,180
U28Z2P,U28Z2P,1,,221_1859_250721,163_1187_241216,180
U28Z2P,U28Z2P,1,,221_1861_250721,163_1137_241215,180
U97Z1P,U97Z2P,1,,109_1083_241215,163_1138_241216,120
U28Z1P,U28Z1P,1,,221_1864_250721,163_1138_241216,180
U97Z1P,U97Z2P,1,,109_820_240701,163_1136_241216,120
U97Z1P,U97Z2P,1,,109_1042_241215,163_1136_241216,120
U28Z1P,U28Z1P,1,,221_1808_250721,163_1136_241216,180
U28Z2P,U28Z2P,1,,221_1809_250721,163_1155_241215,180
U97Z1P,U97Z2P,1,,109_253_241215,163_1156_241216,120
U28Z1P,U28Z1P,1,,221_1836_250721,163_1156_241216,180
U461Z301,U461Z2P,1,,1309_2515_241216,209_2070_250630,300
U461Z301,U461Z2P,1,,1309_2512_241215,209_2070_250630,300
U461Z301,U461Z2P,1,,1309_2527_241216,209_2072_250630,600
U461Z301,U461Z2P,1,,1309_2537_241215,209_2074_250630,600
U461Z301,U461Z2P,1,,1309_2547_241215,209_2076_250630,300
U461Z301,U461Z2P,1,,1309_2561_241215,209_2078_250630,300
U461Z301,U461Z2P,1,,1309_9165_241215,209_2046_250628,600
U461Z301,U461Z2P,1,,1309_2509_241215,209_2080_250630,300
U461Z301,U461Z2P,1,,1309_2521_241215,209_2082_250630,300
U461Z301,U461Z2P,1,,1309_2531_241216,209_2084_250630,600
U461Z301,U461Z2P,1,,1309_2541_241215,209_2086_250630,600
U461Z301,U461Z2P,1,,1309_2555_241215,209_2088_250630,300
U461Z301,U461Z2P,1,,1309_2567_241215,209_2057_250628,600
U461Z301,U461Z2P,1,,1309_9169_241215,209_2090_250630,600
U461Z301,U461Z2P,1,,1309_2513_241215,209_2093_250630,300
U461Z301,U461Z2P,1,,1309_2525_241215,209_2095_250630,600
U461Z301,U461Z2P,1,,1309_2535_241216,209_2097_250630,600
U461Z301,U461Z2P,1,,1309_2545_241215,209_2099_250630,300
